"date","open","close","increase","increPer","low","high","volume","amount","other","MA5","MA10","MA20","MA30","MA40","MA50","MA6"
"2015-07-07",3654.78,3727.12,-48.79,"-1.29%",3585.4,3750.57,698818752,77607256,"-",3831.28,4089.75,4508.18,4633.32,4590.29,4543.87,4495.58
"2015-07-08",3467.4,3507.19,-219.93,"-5.90%",3421.53,3599.25,680356928,70024832,"-",3721.98,3971.45,4427.86,4586.52,4567.94,4523.47,4485.33
"2015-07-09",3432.45,3709.33,202.14,"5.76%",3373.54,3748.48,656914624,67331096,"-",3681.29,3889.61,4358.02,4545.45,4551.28,4508.13,4478.23
"2015-07-10",3707.46,3877.8,168.47,"4.54%",3677.43,3959.22,586364288,68043416,"-",3719.47,3858.1,4295.83,4520.7,4538.77,4496.15,4474.79
"2015-07-13",3918.99,3970.39,92.58,"2.39%",3858.64,4030.19,643489024,78243056,"-",3758.37,3849.83,4236.04,4499.32,4530.31,4486.73,4471.05
"2015-07-14",3958.37,3924.49,-45.9,"-1.16%",3855.56,4035.43,670558784,83007464,"-",3797.84,3814.56,4179.11,4469.18,4521.33,4475.61,4465
"2015-07-15",3874.97,3805.7,-118.78,"-3.03%",3741.25,3914.27,601301312,70053656,"-",3857.54,3789.76,4125.02,4432.35,4506.04,4465.75,4458.15
"2015-07-16",3758.5,3823.18,17.47,"0.46%",3688.44,3877.51,492256224,56985892,"-",3880.31,3780.8,4067.79,4396.12,4490.46,4457.63,4450.31
"2015-07-17",3831.42,3957.35,134.18,"3.51%",3814.15,3994.48,481726272,59306700,"-",3896.22,3807.85,4026.39,4363.13,4476.16,4454.53,4442.95
"2015-07-20",3948.42,3992.11,34.76,"0.88%",3927.12,4021.33,539106688,68825560,"-",3900.57,3829.47,4002.07,4328.76,4459.52,4450.25,4435.91
"2015-07-21",3939.9,4017.67,25.57,"0.64%",3912.8,4041.82,504288000,64641684,"-",3919.2,3858.52,3974.13,4291.62,4439.62,4443.94,4429.65
"2015-07-22",3996.43,4026.04,8.37,"0.21%",3960.86,4042.34,520732224,67883192,"-",3963.27,3910.41,3940.93,4255.37,4417.5,4436.43,4421.29
"2015-07-23",4022.27,4123.92,97.88,"2.43%",4019.04,4132.61,563585984,74353184,"-",4023.42,3951.86,3920.74,4222.64,4397.05,4431.4,4415.42
"2015-07-24",4124.75,4070.91,-53.02,"-1.29%",4044.83,4184.45,627424896,84302208,"-",4046.13,3971.18,3914.64,4187.61,4383.32,4425.25,4408.66
"2015-07-27",3985.57,3725.56,-345.35,"-8.48%",3720.44,4051.16,556003264,72129808,"-",3992.82,3946.69,3898.26,4139.59,4361.16,4413.59,4396.72
"2015-07-28",3573.14,3663,-62.56,"-1.68%",3537.36,3762.53,563330048,68505752,"-",3921.89,3920.54,3867.55,4092.92,4332.02,4401.18,4383.1
"2015-07-29",3689.82,3789.17,126.17,"3.44%",3612.06,3792.07,434352096,55749196,"-",3874.51,3918.89,3854.33,4056.31,4303.98,4388.61,4374.61
"2015-07-30",3773.79,3705.77,-83.4,"-2.20%",3685.96,3844.37,457943232,61597792,"-",3790.88,3907.15,3843.98,4014.24,4273.88,4373.8,4365.88
"2015-07-31",3655.67,3663.73,-42.04,"-1.13%",3620.17,3729.51,350955712,46047224,"-",3709.45,3877.79,3842.82,3976.85,4241.8,4356.48,4358.41
"2015-08-03",3614.99,3622.91,-40.82,"-1.11%",3549.5,3648.94,363968704,44599160,"-",3688.92,3840.87,3835.17,3948.34,4206.79,4335.79,4348.69
"2015-08-04",3621.85,3756.54,133.64,"3.69%",3601.29,3757.03,362901664,46403624,"-",3707.62,3814.75,3836.64,3921.01,4172.41,4314.64,4339.07
"2015-08-05",3745.65,3694.57,-61.97,"-1.65%",3676.39,3782.35,366423008,48385028,"-",3688.7,3781.61,3846.01,3887.82,4136.93,4290.32,4327.29
"2015-08-06",3625.5,3661.54,-33.03,"-0.89%",3614.74,3710.57,274074656,35751512,"-",3679.86,3735.37,3843.62,3858.95,4100.82,4264.71,4315.39
"2015-08-07",3692.61,3744.2,82.67,"2.26%",3686.3,3756.74,340757184,44548504,"-",3695.95,3702.7,3836.94,3843.99,4066.39,4247.19,4304.82
"2015-08-10",3786.03,3928.42,184.21,"4.92%",3775.85,3943.62,497304320,65262204,"-",3757.05,3722.98,3834.84,3839.84,4035.44,4233.53,4298.48
"2015-08-11",3928.81,3927.91,-0.51,"-0.01%",3891.18,3970.34,538923456,71228992,"-",3791.33,3749.48,3835.01,3828.19,4007.06,4215.51,4292.56
"2015-08-12",3881.23,3886.32,-41.59,"-1.06%",3871.14,3937.77,442688256,59705028,"-",3829.68,3759.19,3839.04,3822.61,3982.03,4195.03,4283.7
"2015-08-13",3869.91,3954.56,68.24,"1.76%",3838.16,3955.79,430073280,57868552,"-",3888.28,3784.07,3845.61,3824.01,3956.7,4175.92,4275.51
"2015-08-14",3976.41,3965.33,10.78,"0.27%",3939.83,4000.68,467988224,64746644,"-",3932.51,3814.23,3846.01,3833.29,3936.2,4156.28,4266.11
"2015-08-17",3947.84,3993.67,28.33,"0.71%",3907.4,3994.54,460432064,62632768,"-",3945.56,3851.31,3846.09,3840.55,3924.08,4135.69,4255.04
"2015-08-18",3999.13,3748.16,-245.5,"-6.15%",3743.39,4006.34,543770816,72246720,"-",3909.61,3850.47,3832.61,3841.25,3903.37,4108.02,4237.28
"2015-08-19",3646.8,3794.11,45.95,"1.23%",3558.38,3811.43,475396224,59951332,"-",3891.17,3860.42,3821.01,3850.81,3880.97,4081.63,4218.67
"2015-08-20",3754.57,3664.29,-129.82,"-3.42%",3663.61,3788.01,390063072,50119500,"-",3833.11,3860.7,3798.03,3849.31,3859.38,4052.8,4197.38
"2015-08-21",3609.96,3507.74,-156.55,"-4.27%",3490.54,3652.84,369920480,45061648,"-",3741.59,3837.05,3769.87,3836.98,3842.26,4020.52,4178.84
"2015-08-24",3373.48,3209.91,-297.84,"-8.49%",3191.88,3388.36,334671776,35881888,"-",3584.84,3765.2,3744.09,3811.63,3821.18,3981.39,4155.47
"2015-08-25",3004.13,2964.97,-244.94,"-7.63%",2947.94,3123.03,352325088,35873576,"-",3428.2,3668.91,3709.19,3779.64,3788.37,3939.43,4124.41
"2015-08-26",2980.79,2927.29,-37.68,"-1.27%",2850.71,3092.04,466699680,46178896,"-",3254.84,3573,3666.1,3750.36,3760.21,3900.23,4091.36
"2015-08-27",2978.03,3083.59,156.3,"5.34%",2906.49,3085.42,400308384,40428928,"-",3138.7,3485.91,3634.99,3725.71,3739.48,3862.54,4060.92
"2015-08-28",3125.26,3232.35,148.76,"4.82%",3102.95,3235.84,443136928,47463100,"-",3083.62,3412.61,3613.42,3701.54,3728.12,3831.48,4032.34
"2015-08-31",3203.56,3205.99,-26.36,"-0.82%",3109.16,3207.86,397431392,43106860,"-",3082.84,3333.84,3592.57,3675.34,3713.87,3806.03,4002.05
"2015-09-01",3157.83,3166.62,-39.36,"-1.23%",3053.74,3180.33,432432448,42041164,"-",3123.17,3275.69,3563.08,3646.97,3699.86,3777.84,3969.3
"2015-09-02",3027.68,3160.17,-6.46,"-0.20%",3019.09,3194.48,438170176,42326236,"-",3169.74,3212.29,3536.36,3618.11,3691.18,3747.24,3936.74
"2015-09-07",3149.38,3080.42,-79.75,"-2.52%",3066.3,3217.58,296468096,30268972,"-",3169.11,3153.9,3507.3,3583.32,3675.46,3718.29,3902.98
"2015-09-08",3054.44,3170.45,90.03,"2.92%",3011.12,3174.71,255415456,26391038,"-",3156.73,3120.18,3478.61,3553.31,3657.78,3697.84,3870.46
"2015-09-09",3182.55,3243.09,72.64,"2.29%",3165.7,3256.74,375328000,41299144,"-",3164.15,3123.49,3444.35,3537.23,3639.59,3681.64,3838.41
"2015-09-10",3190.55,3197.89,-45.2,"-1.39%",3178.9,3243.28,273261760,29958108,"-",3170.4,3146.79,3407.85,3521.72,3621.43,3660.05,3807.32
"2015-09-11",3189.48,3200.23,2.34,"0.07%",3163.45,3223.76,224557808,25276946,"-",3178.42,3174.08,3373.54,3502.09,3606.29,3642.99,3779.2
"2015-09-14",3221.17,3114.8,-85.44,"-2.67%",3049.23,3229.48,346631168,37357680,"-",3185.29,3177.2,3331.55,3482.39,3588.58,3627.03,3748.32
"2015-09-15",3043.8,3005.17,-109.63,"-3.52%",2983.92,3081.7,249194448,24390460,"-",3152.24,3154.48,3283.55,3460.44,3564.78,3613.39,3718.65
"2015-09-16",2998.04,3152.26,147.09,"4.89%",2983.54,3182.93,277524512,28199226,"-",3134.07,3149.11,3241.47,3444.75,3543.78,3600.92,3696.55
"2015-09-17",3131.98,3086.06,-66.2,"-2.10%",3085.31,3204.7,317602912,33739328,"-",3111.7,3141.05,3208.37,3422.4,3520.49,3588.1,3671.71
"2015-09-18",3100.28,3097.92,11.86,"0.38%",3070.34,3122.05,209175392,21844244,"-",3091.24,3134.83,3173.56,3402.51,3497.29,3579.91,3645.17
"2015-09-21",3072.09,3156.54,58.62,"1.89%",3060.86,3159.88,239897360,25979668,"-",3099.59,3142.44,3148.17,3385.68,3473.1,3568.86,3622.31
"2015-09-22",3161.32,3185.62,29.08,"0.92%",3152.48,3213.48,274786176,30507132,"-",3135.68,3143.96,3132.07,3367.06,3450.97,3555.01,3605.53
"2015-09-23",3137.72,3115.89,-69.73,"-2.19%",3104.74,3164.04,236322672,25756004,"-",3128.41,3131.24,3127.37,3339.98,3435.73,3537.92,3589.91
"2015-09-24",3126.49,3142.69,26.8,"0.86%",3109.69,3151.16,212887712,23136904,"-",3139.73,3125.72,3136.25,3313.8,3422.72,3522.29,3571
"2015-09-25",3130.85,3092.35,-50.34,"-1.60%",3063,3149.95,236263872,24897112,"-",3138.62,3114.93,3144.5,3287.34,3405.3,3508.02,3554.98
"2015-09-28",3085.57,3100.76,8.41,"0.27%",3042.31,3103.07,156727536,16642240,"-",3127.46,3113.53,3145.36,3258.88,3390.18,3493.57,3541.44
"2015-09-29",3055.22,3038.14,-62.62,"-2.02%",3021.16,3068.3,163222672,16968660,"-",3097.97,3116.82,3135.65,3227.97,3374.54,3475.19,3530.63
"2015-09-30",3052.84,3052.78,14.64,"0.48%",3039.74,3073.3,146642448,15656919,"-",3085.34,3106.87,3127.99,3196.61,3360.28,3456.4,3518.58
"2015-10-08",3156.07,3143.36,90.58,"2.97%",3133.13,3172.28,234276048,25883034,"-",3085.48,3112.6,3126.83,3176.45,3344.95,3438.91,3508.85
"2015-10-09",3146.64,3183.15,39.79,"1.27%",3137.79,3192.72,234851456,25637910,"-",3103.64,3121.13,3127.98,3156.08,3332.17,3422.06,3503.45
"2015-10-12",3193.54,3287.66,104.51,"3.28%",3188.41,3318.71,386294688,43554100,"-",3141.02,3134.24,3138.34,3143.53,3322.82,3405.33,3496.42
"2015-10-13",3262.16,3293.23,5.57,"0.17%",3253.25,3298.63,297153120,33480608,"-",3192.04,3145,3144.48,3136.38,3311.55,3389.78,3486.68
"2015-10-14",3280.02,3262.44,-30.79,"-0.93%",3256.25,3307.32,295077760,33027752,"-",3233.97,3159.66,3145.45,3138.13,3294.9,3380.51,3474.88
"2015-10-15",3255.03,3338.07,75.63,"2.32%",3254.39,3338.3,316283840,36256556,"-",3272.91,3179.19,3152.46,3150.57,3280.15,3374.02,3465.1
"2015-10-16",3358.3,3391.35,53.28,"1.60%",3334.85,3393.02,395460576,45944784,"-",3314.55,3209.09,3162.01,3166.03,3267.78,3366.06,3458.2
"2015-10-19",3401.63,3386.7,-4.65,"-0.14%",3355.57,3423.4,378112160,45330364,"-",3334.36,3237.69,3175.61,3176.14,3253.58,3359.68,3450.92
"2015-10-20",3377.55,3425.33,38.63,"1.14%",3357.86,3425.52,318973760,38358252,"-",3360.78,3276.41,3196.62,3182.57,3240.08,3354.91,3442.06
"2015-10-21",3428.56,3320.68,-104.65,"-3.06%",3265.44,3447.26,458455424,51850924,"-",3372.43,3303.2,3205.04,3186.39,3223.26,3348.87,3430.87
